values,type,l0,l1,l2,l3
"['General', 'P.O. Box']",classification,,,,
"['geograph', 'supplemental', 'supplemental']",classification,,,,
"['Charitable Organization', 'Charitable Organization (Single Organization Support )', 'Charitable Organization', 'Charitable Organization', 'Charitable Organization', 'Charitable Organization', 'Labor Organization', 'Labor Organization', 'Post or Organization of War Veterans', 'Educational Organization; Literary Organization', 'Pleasure, Recreational, or Social Club (Recreational and Sporting Camps)', 'Charitable Organization (Music)', 'Charitable Organization (Named Trusts/Foundations N.E.C. )', 'Business League', 'Domestic Fraternal Societies and Associations', 'Pleasure, Recreational, or Social Club', 'Charitable Organization; Educational Organization (Boys and Girls Clubs (Combined))', 'Charitable Organization', 'Horticultural Organization', 'Charitable Organization', 'Cemetery Company; Burial Association', 'Educational Organization (Fishing, Hunting Clubs)', 'Educational Organization (Safety Education)', 'Charitable Organization', 'Religious Organization (Protestant)', 'Charitable Organization (Amateur Sports Clubs, Leagues, N.E.C.)', 'Fraternal Beneficiary Society, Order or Association', 'Charitable Organization', ""Post or Organization of War Veterans (Military, Veterans' Organizations)"", ""Post or Organization of War Veterans (Military, Veterans' Organizations)"", 'Charitable Organization (Thrift Shops)', 'Domestic Fraternal Societies and Associations (Real Estate Organizations)', 'Educational Organization', 'Charitable Organization (Physical Fitness and Community Recreational Facilities)', 'Charitable Organization (Student Services, Organizations of Students)', 'Religious Organization; Educational Organization (Roman Catholic)', 'Educational Organization', 'Charitable Organization (Religion Related, Spiritual Development N.E.C.)', 'Fraternal Beneficiary Society, Order or Association', 'Fraternal Beneficiary Society, Order or Association', 'Charitable Organization; Educational Organization (Fund Raising and/or Fund Distribution )', 'Civic League (Community, Neighborhood Development, Improvement (General))', 'Charitable Organization (Senior Centers, Services)', 'Charitable Organization (Fund Raising Organizations That Cross Categories)', 'Educational Organization (Commemorative Events)', ""Charitable Organization (Women's Service Clubs)"", 'Charitable Organization (Garden Club, Horticultural Program)', 'Domestic Fraternal Societies and Associations (Fraternal Beneficiary Societies)', 'Charitable Organization; Educational Organization; Religious Organization (Family Violence Shelters, Services)', 'Charitable Organization (Student Services, Organizations of Students)', 'Charitable Organization (Unknown)', 'Charitable Organization (Blind/Visually Impaired Centers, Services )', 'Fraternal Beneficiary Society, Order or Association', 'Fraternal Beneficiary Society, Order or Association', 'Fraternal Beneficiary Society, Order or Association', 'Fraternal Beneficiary Society, Order or Association', 'Educational Organization (Spouse Abuse, Prevention of)', 'Social Welfare Organization', 'Social Welfare Organization (Community Service Clubs)', 'Labor Organization', 'Labor Organization', 'Charitable Organization', 'Educational Organization', 'Charitable Organization', 'Post or Organization of War Veterans', 'Religious Organization', 'Title-Holding Corporation', 'Charitable Organization', 'Charitable Organization; Religious Organization (International Relief)', 'Charitable Organization', 'Educational Organization; Charitable Organization (Alliance/Advocacy Organizations )', 'Civic League (Civil Rights, Advocacy for Specific Groups)', ""Post or Organization of War Veterans (Military, Veterans' Organizations)"", 'Charitable Organization', 'Religious Organization', 'Civic League', 'Civic League', 'Civic League', 'Civic League', 'Charitable Organization', 'Charitable Organization', 'Board of Trade (Boards of Trade)', 'Religious Organization', 'Educational Organization (Community Coalitions)', ""Charitable Organization (Senior Citizens' Housing/Retirement Communities)"", 'Social Welfare Organization', 'Fraternal Beneficiary Society, Order or Association', 'Religious Organization (Protestant)', 'Charitable Organization (Scholarships, Student Financial Aid Services, Awards)', 'Civic League (Education N.E.C.)', 'Burial Association', 'Cemetery Company', 'Educational Organization', 'Educational Organization', 'Charitable Organization (Art Museums)', 'Charitable Organization (Baseball, Softball)', 'Charitable Organization', 'Educational Organization', 'Educational Organization', 'Educational Organization', 'Educational Organization', 'Educational Organization', 'Charitable Organization (Community Improvement, Capacity Building N.E.C.)', 'Educational Organization (Remedial Reading, Reading Encouragement)', 'Educational Organization (Human Service Organizations - Multipurpose)', 'Charitable Organization', 'Charitable Organization (Lesbian, Gay Rights)', ""Voluntary Employees' Beneficiary Association (Non-Govt. Emps.)"", 'Title-Holding Corporation (Real Estate Organizations)', 'Agricultural Organization', 'Charitable Organization (Scholarships, Student Financial Aid Services, Awards)', ""Voluntary Employees' Beneficiary Association (Non-Govt. Emps.) (Mutual/Membership Benefit Organizations, Other N.E.C.)"", 'Religious Organization', 'Charitable Organization', 'Charitable Organization (Arts, Cultural Organizations - Multipurpose)', 'Business League (Promotion of Business)', 'Pleasure, Recreational, or Social Club (Equestrian, Riding)', 'Real Estate Board', 'Charitable Organization (Search and Rescue Squads, Services)', 'Charitable Organization (Recreation, Sports, Leisure, Athletics N.E.C.)', 'Business League', 'Charitable Organization (Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.)', '4947(a)(2) - Charitable Trust (Form 990 Filer)', 'Labor Organization', 'Charitable Organization', 'Charitable Organization (Public Foundations)', 'Charitable Organization (Safety Education)', 'Religious Organization', 'Fraternal Beneficiary Society, Order or Association', 'Charitable Organization', 'Charitable Organization (Disaster Preparedness and Relief Services)', 'Fraternal Beneficiary Society, Order or Association', 'Labor Organization', 'Fraternal Beneficiary Society, Order or Association', 'Agricultural Organization', 'Charitable Organization (Personal Social Services)', 'Post or Organization of War Veterans', 'Social Welfare Organization', 'Local Association of Employees (Nonmonetary Support N.E.C.)', 'Educational Organization (Soccer Clubs, Leagues)', 'Educational Organization', 'Agricultural Organization', ""Charitable Organization (Women's Service Clubs)"", 'Educational Organization (Adult, Continuing Education)', 'Charitable Organization; Educational Organization (Fund Raising and/or Fund Distribution )', 'Charitable Organization (Human Services - Multipurpose and Other N.E.C.)', 'Charitable Organization']",classification,,,,
"['Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'Non-Ranking', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional B', 'BMX Regional A']",classification,,,,
"['Class II', 'Class II', 'Class II', 'Class II', 'Class III', 'Class III', 'Class III', 'Class II', 'Class II', 'Class II', 'Class III', 'Class III', 'Class III', 'Class II', 'Class III', 'Class III', 'Class II', 'Class III', 'Class II', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class I', 'Class I', 'Class I', 'Class II', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class III', 'Class III', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class II', 'Class I', 'Class II', 'Class II', 'Class II', 'Class III', 'Class II', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class I', 'Class I', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class I', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class I', 'Class I', 'Class III', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class III', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class III', 'Class III', 'Class III', 'Class II', 'Class I', 'Class I', 'Class II', 'Class III', 'Class III', 'Class III', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class II', 'Class I', 'Class I', 'Class II', 'Class III', 'Class II', 'Class II']",classification,,,,
"['Mammals', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Birds', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Reptiles and Amphibians', '', '', '', '', 'Fish', '', '', '', '', 'Invertebrates', '', '', '', '', '', '', '', '', '', '', '']",classification,,,,
"['Youth Only', 'Youth Only', 'Youth Only', 'Youth Only', 'Youth Only', 'Youth Only', 'Youth Only', 'Youth Only', 'Regional C+', 'Regional C+']",classification,,,,
"['Computer Science: Information & General Works', 'Philosophy & Psychology', 'Religion', 'Social Sciences', 'Language', 'Natural Sciences & Mathematics', 'Technology (Applied Sciences)', 'Arts & Recreation', 'Literature & Rhetoric', 'History & Geography', 'Biography']",classification,,,,
"['SBR, Emulsion', 'SBR, Emulsion', 'SBR, Emulsion', 'SBR, Emulsion']",classification,,,,
"['UNAT', 'ARIZ', 'WCM', 'FMM', 'CATM', 'O*H*', 'USF', 'HSAM', 'O*H*', 'MICH']",club,Categorical,,,
"['LAM', 'SCAQ', 'DADS', 'SDSM', 'PALM', 'SNM', 'PNA', '1776', 'MICH', 'BACM']",club,,,,
"['TAM', 'OREG', 'DCM', 'IM', 'DCM', 'METR', 'OREG', 'RINC', 'ISF', 'MINN']",club,,,,
"['SPM', 'SMS']",club,,,,
"['UCLA', 'GSM', 'UNAT', 'GOLD', 'ISF', 'MICH', 'TAM', 'METR', 'AKMS', 'ISF']",club,,,,
"['VMST', 'VMST']",club,,,,
"['FC Dallas', 'Vancouver Whitecaps FC', 'LA Galaxy', 'Sporting Kansas City', 'Seattle Sounders FC', 'Portland Timbers', 'Real Salt Lake', 'Houston Dynamo', 'San Jose Earthquakes', 'Colorado Rapids']",club,,,,
"['PNA', 'PNA', 'ORLM', 'UNAT', 'ARIZ', 'ORLM', '1776', 'SMMM', 'SWIM', 'GSM']",club,,,,
"['DCM', 'HUMU', 'O*H*', 'SMMM', 'GWSH', 'NEM', 'NEM', 'CONN', 'SDSM', 'SBSC']",club,,,,
"['NIAG', 'NEM', 'SBSC', 'MMSC', 'CHA', 'GAM', 'CONN', 'STRA', 'SPM', 'WCM']",club,,,,
"['CC', 'FPAY']",code,Categorical,Not-Generalizable,,
"['AS', 'AS', 'CC', 'FPAY', 'FPAY']",code,,,,
"[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 53.0, 54.0, 55.0, 56.0, 60.0, 66.0, 72.0, 78.0, 81.0, 82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, None]",code,,,,
"['AS', 'REMI', 'LAPS', 'FP']",code,,,,
"['AS', 'FPAY', 'FPAY', 'FPAY']",code,,,,
"['AS', 'FPAY']",code,,,,
"['N0000', 'SL_A', 'SL_B', 'SL_C', 'SL_D', 'SL_M', 'ST_SM', 'ST_1', 'ST_2', 'ST_3', 'ST_4', 'ST_5', 'ST_6', 'ST_7', 'ST_8', 'ST_9', 'N0010', 'N0111', 'N0112', 'N0113', 'N0121', 'N0122', 'N0124', 'N0130', 'N0211', 'N0213', 'N0311', 'N0410', 'N0421', 'N0422', 'N0423', 'N0430', 'N0510', 'N0601', 'N0621', 'N0631', 'N0632', 'N0651', 'N0711', 'N0712', 'N0714', 'N0731', 'N0811', 'N0820', 'N0910', 'N1111', 'N1112', 'N1113', 'N1114', 'N1121', 'N1122', 'N1123', 'N1211', 'N1212', 'N1213', 'N1221', 'N1222', 'N1223', 'N1224', 'N1225', 'N1226', 'N1227', 'N1241', 'N1242', 'N1243', 'N1250', 'N1311', 'N1312', 'N1411', 'N1414', 'N1415', 'N1422', 'N1431', 'N1432', 'N1434', 'N1450', 'N1511', 'N1512', 'N1513', 'N1521', 'N1522', 'N1525', 'N2110', 'N2120', 'N2131', 'N2132', 'N2133', 'N2134', 'N2141', 'N2143', 'N2146', 'N2147', 'N2151', 'N2152', 'N2161', 'N2171', 'N2172', 'N2173', 'N2174', 'N2175', 'N2210', 'N2221', 'N2222', 'N2225', 'N2231', 'N2232', 'N2233', 'N2234', 'N2241', 'N2242', 'N2243', 'N2250', 'N2261', 'N2264', 'N2270', 'N2281', 'N2282', 'N3011', 'N3012', 'N3111', 'N3112', 'N3113', 'N3114', 'N3120', 'N3131', 'N3132', 'N3141', 'N3142', 'N3143', 'N3211', 'N3213', 'N3214', 'N3217', 'N3220', 'N3231', 'N3232', 'N3233', 'N3234', 'N3411', 'N3413', 'N4011', 'N4012', 'N4021', 'N4031', 'N4032', 'N4033', 'N4110', 'N4151', 'N4152', 'N4153', 'N4154', 'N4156', 'N4161', 'N4162', 'N4164', 'N4166', 'N4168', 'N4211', 'N4212', 'N4214', 'N4215', 'N4216', 'N4311', 'N4312', 'N4411', 'N4412', 'N4413', 'N4420', 'N5110', 'N5121', 'N5125', 'N5131', 'N5133', 'N5210', 'N5221', 'N5222', 'N5230', 'N5241', 'N5242', 'N5243', 'N5250', 'N6211', 'N6221', 'N6222', 'N6231', 'N6232', 'N6235', 'N6311', 'N6312', 'N6321', 'N6322', 'N6331', 'N6332', 'N6341', 'N6342', 'N6411', 'N6421', 'N6511', 'N6512', 'N6513', 'N6521', 'N6522', 'N6523', 'N6525', 'N6530', 'N6541', 'N6551', 'N6552', 'N6561', 'N6562', 'N6611', 'N6621', 'N6622', 'N6623', 'N6711', 'N6720', 'N6731', 'N6732', 'N6733', 'N6740', 'N7201', 'N7202', 'N7203', 'N7204', 'N7205', 'N7231', 'N7233', 'N7237', 'N7241', 'N7242', 'N7244', 'N7246', 'N7251', 'N7252', 'N7271', 'N7272', 'N7281', 'N7282', 'N7284', 'N7291', 'N7292', 'N7294', 'N7295', 'N7301', 'N7302', 'N7304', 'N7311', 'N7312', 'N7313', 'N7314', 'N7321', 'N7322', 'N7330', 'N7360', 'N7370', 'N7380', 'N7441', 'N7442', 'N7450', 'N7511', 'N7512', 'N7513', 'N7514', 'N7521', 'N7522', 'N7530', 'N7610', 'N7620', 'N8211', 'N8220', 'N8231', 'N8232', 'N8241', 'N8252', 'N8260', 'N8410', 'N8420', 'N8431', 'N8432', 'N8440', 'N8611', 'N8612', 'N8614', 'N9211', 'N9213', 'N9214', 'N9220', 'N9230', 'N9240', 'N9410', 'N9420', 'N9431', 'N9432', 'N9441', 'N9446', 'N9461', 'N9462', 'N9470', 'N9521', 'N9523', 'N9524', 'N9531', 'N9532', 'N9611', 'N9613', 'N9614', 'N9616', 'N9617']",code,,,,
"['REMI', 'SULP', 'FPAY']",code,,,,
"['AS', 'FPAY', 'AS', 'AS', 'FPAY', 'AS', 'AS', 'FPAY', 'AS', 'AS', 'AS', 'AS', 'AS', 'AS', 'AS']",code,,,,
"['AS', 'CC', 'FPAY', 'AS', 'FPAY', 'FPAY']",code,,,,
"[""Fiction, Children's"", ""Reference, Children's - Non-Floating"", ""Fiction, Children's"", ""Fiction, Children's"", 'Special Collections - Non-Floating', ""Reference, Children's - Non-Floating"", ""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's"", 'Reference, Adult - Non-Floating', 'SS-Easy Books', 'SS-ISD, Elementary', 'SS-Easy Books', 'SS-Easy Books']",collection,Categorical,List,,
"['ANIMALS & PETS', 'ANTIQUES & COLLECTIBLES ', 'ARCHITECTURE, HOME, AND GARDEN', 'ART', 'BIOGRAPHY & AUTOBIOGRAPHY ', 'BUSINESS & ECONOMICS', 'COMPUTERS & TECHNOLOGY', 'CRAFTS & HOBBIES', 'CRIME ', 'DRAMA & WRITING', 'Early Education Concepts', 'EDUCATION', 'FAMILY & RELATIONSHIPS & ROMANCE', 'FOOD & COOKING', 'FOREIGN LANGUAGE STUDY', 'GAMES, SPORTS & RECREATION', 'HEALTH & FITNESS', 'HISTORY & HISTORICAL FICTION', 'Holidays & Celebrations', 'HUMOR', 'JUVENILE & YOUNG ADULT FICTION', 'LAW', 'MATHEMATICS', 'MEDICINE', 'MIND, SPIRIT & RELIGION', 'Misc. Picture Books & Beginning Readers', 'MUSIC', 'Mystery', 'NATURE', 'PHILOSOPHY', 'PHOTOGRAPHY', 'POETRY', 'POLITICAL SCIENCE', 'PSYCHOLOGY & Self Help', 'REFERENCE', 'SCIENCE', 'Science fiction & fantasy', 'SOCIAL STUDIES & GEOGRAPHY', 'STUDY AIDS', 'TRAVEL & TRANSPORTATION', 'Total']",collection,,,,
"[""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", 'Fiction, Adult - Non-Floating', 'Fiction, Adult - Non-Floating', ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating""]",collection,,,,
"['SS-Easy Books', 'Fiction, Adult - Non-Floating', 'SS-Easy Books']",collection,,,,
"[""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating"", ""Fiction, Children's - Non-Floating""]",collection,,,,
"['CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical', 'CDs, Adult Musical']",collection,,,,
"['Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Newspaper Archives', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives']",collection,,,,
"[""Fiction, Children's"", ""Fiction, Children's"", 'SS-Easy Books']",collection,,,,
"[""Nonfiction, Children's"", ""Nonfiction, Children's"", ""Nonfiction, Children's"", ""Nonfiction, Children's"", ""Nonfiction, Children's"", ""Nonfiction, Children's"", ""Nonfiction, Children's""]",collection,,,,
"['Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Newspaper Archives', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries', 'Recent Obituaries']",collection,,,,
"['call application history session max-records', 'history session event-log save-exception-only', 'history session retain-timer']",command,Categorical,Sentence,,
"['show ospf interface', 'show ospf neighbor']",command,,,,
"['class-map type inspect smtp', 'parameter-map type regex', 'pattern']",command,,,,
"['ipv6 address eui-64', 'ipv6 unnumbered', 'show ipv6 interface']",command,,,,
"['debug atm events', 'debug atm errors', 'debug atm status', 'debug ppp authentication', 'debug ppp error', 'debug ppp negotiation', 'debug radius', 'debug vpdn event', 'debug vpdn l2x-errors', 'debug vpdn 12x-events', 'debug vpdn pppoe-errors', 'debug vpdn pppoe-events', 'show atm pvc', 'show atm pvc dbs', 'show atm vc detailed', 'show interfaces virtual-access']",command,,,,
"['', '', '', '', 'server-add, server-readd, rebalance', 'server-add, server-readd, rebalance', 'server-add, server-readd, rebalance', 'rebalance', 'failover', 'cluster-init', 'cluster-init', 'cluster-init', 'cluster-init', 'bucket*', 'bucket*', 'bucket*', 'bucket*', 'bucket*', 'bucket*']",command,,,,
"['clear mls acl counters', 'show tcam counts']",command,,,,
"['show ip verify source [ interface interface-id ]', 'show ip device tracking { all | interface interface-id | ip ip-address | mac imac-address}']",command,,,,
"['Close Tab', 'Close Window', 'Move Tab in focus Left', 'Move Tab in focus Right', 'Move Tab in focus to start', 'Move Tab in focus to end', 'New Tab', 'New Window', 'New Private Window', 'Next Tab', 'Open Address in New Tab', 'Previous Tab', 'Undo Close Tab', 'Undo Close Window', 'Select Tab 1 to 8', 'Select Last Tab', 'Tab Groups View', 'Close Tab Groups View', 'Next Tab Group', 'Previous Tab Group']",command,,,,
"['help COMMAND', 'list', 'NICK++ / NICK--', 'karma NICK', 'seen NICK', 'tell / ask', 'xseen', 'quote NICK', 'remember NAME QUOTE', '...']",command,,,,
"['BOYD GAMING…', 'AMAG PHARMA…', 'GOPRO CL A', 'INTERACTIVE…', 'A O SMITH C…']",company,Context-Specific,,,
"['General Motors', 'General Motors', 'General Motors ', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'General Motors', 'Ford Motor Company', 'Ford Motor Company', 'Ford Motor Company', 'Ford Motor Company', 'Ford Motor Company', 'TELCO (6.75%)', 'TELCO (6.75%)', 'TELCO (6.75%)', 'TELCO (6.75%)', 'TELCO (6.75%)', 'TELCO (6.75%)', 'BMW Group', 'BMW Group', 'BMW Group', 'Fuji Heavy Industries (16.7%)', 'Toyota', 'Toyota', 'Toyota', 'Toyota', 'Toyota', 'Toyota', 'Mitsubishi Corporation', 'Honda Motor Company', 'Renault S.A.', 'Nissan (44.3%)', 'Renault S.A.', 'Renault S.A.', 'Chrysler (19.9%)', 'Chrysler (19.9%)', 'Chrysler (19.9%)', 'Porsche Automobil', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Volkswagen Group (50.76%)', 'Proton', 'Proton', 'Daimler AG', 'Daimler AG', 'Daimler AG', 'Daimler AG', 'Daimler AG', 'Fiat S.p.A.', 'Fiat S.p.A.', 'Fiat S.p.A.', 'Fiat S.p.A.', 'Fiat S.p.A.', 'Hyundai', 'PSA Peugeot Citroën S.A.', 'PSA Peugeot Citroën S.A.']",company,,,,
"['Volkswagen AG', 'Daimler AG', 'Plastic Omnium', 'Plastic Omnium', 'Lithia Motors, Inc.', 'Lithia Motors, Inc.']",company,,,,
"['First Solar', 'ITC Holdings', 'Trina Solar']",company,,,,
"['SELVAKUMAR', 'Empower consultancy services inc', 'Empower consultancy services inc', 'ShebaaAnbu', 'Empower consultancy services inc', 'Highflyer', 'AGI', 'Empower Consultancy Service Inc', 'iCluster IT Solutions', 'HR', 'AGI', 'ClaySys', 'ClaySys', 'East Coast Hospitals', 'Paradise Aviation Services Private Limited']",company,,,,
"['6996 Nichicon Corp.', '6997 Nippon Chemi-Con Corp.', '6976 Taiyo Yuden Co. Ltd.', '6762 TDK Corp.']",company,,,,
"['JBSS3 JBS S/A Ord', 'BAFARB Grupo Bafar S.A.B. de C.V. Series B', 'BEEF3 Minerva S/A Ord', 'BRFS3 BRF S.A. Ord']",company,,,,
"['GULFMARK OF…', 'ITT EDUCATI…', 'PEP BOYS', 'MARCUS CORP…', 'NIPPON TELE…']",company,,,,
